Quarter,Windows Mobile,RIM,Symbian,iOS,Android,Bada,Windows Phone,Other,Total Smartphones,Total Phones
2007 Q1,2931,2080,15844,0,0,0,0,4087,24943,259039
2007 Q2,3212,2471,18273,270,0,0,0,3628,27855,272604
2007 Q3,4180,3192,20664,1104,0,0,0,3612,32752,291142
2007 Q4,4374,4025,22903,1928,0,0,0,3536,36766,330055
2008 Q1,3858,4312,18400,1726,0,0,0,4113,32408,294283
2008 Q2,3874,5594,18405,893,0,0,0,3456,32221,304722
2008 Q3,4053,5800,18179,4720,0,0,0,3763,36515,308532
2008 Q4,4714,7443,17949,4079,0,0,0,3958,38143,314708
2009 Q1,3739,7534,17825,3848,575,0,0,2986,36507,269120
2009 Q2,3830,7782,20881,5325,756,0,0,2398,40972,286122
2009 Q3,3260,8523,18315,7040,1425,0,0,2531,41093,308895
2009 Q4,4203,10508,23857,8676,4043,0,0,2517,53804,347103
2010 Q1,3696,10753,24068,8360,5227,0,0,2403,54506,359605
2010 Q2,3059,11629,25387,8743,10653,577,0,2011,62058,367987
2010 Q3,2204,12508,29480,13484,20544,921,0,1991,81133,417086
2010 Q4,3419,14762,32642,16011,30801,2027,0,1488,101150,452037
2011 Q1,982,13004,27599,16883,36350,1862,1600,1495,99775,427846
2011 Q2,0,12652,23853,19629,46776,2056,1724,1051,107740,428661
2011 Q3,0,12701,19500,17295,60490,2479,1702,1018,115185,440502
2011 Q4,0,13185,17458,35456,75906,3111,2759,1167,149042,476555
2012 Q1,0,9939,12467,33121,81067,3842,2713,1243,144392,419108
2012 Q2,0,7991,9072,28935,98529,4209,4087,863,153686,419008
2012 Q3,0,8947,4405,23550,122480,5055,4058,684,169179,427730
2012 Q4,0,7333,2569,43457,144720,2684,6186,713,207662,472076
2013 Q1,0,6219,1349,38332,156186,1371,5989,600,210046,425822
2013 Q2,0,6180,631,31900,177898,838,7408,472,225326,435158